id,rev,revtype,addedon,updatedon,bankname,brand,countrycode,endbin,scheme,startbin,subbrand,subtype,type,adminid,bin
19caeb96-c9a8-4627-8f05-421d7503b154,1009,0,2022-03-04T15:59:44.716914,2022-03-04T15:59:44.716,,VISA PLATINUM,IN,44313700099999999999,visa,44313700000000000000,,R,credit,203,
2d4c2ed6-4206-414f-8c46-b353b07217fc,1008,0,2022-03-04T15:59:43.842706,2022-03-04T15:59:43.842,,VISA BUSINESS,IN,43926650099999999999,visa,43926600000000000000,,R,debit,203,
3923af41-3b2f-4109-958a-90333563012a,1013,0,2022-03-04T15:59:52.205065,2022-03-04T15:59:52.205,,VISA INFINITE,IN,46408819799999999999,visa,46408819700000000000,,R,credit,203,
5a76364e-f53e-4e6b-b3e1-25c7ea92498a,1004,0,2022-03-04T15:59:40.268418,2022-03-04T15:59:40.268,,VISA PLATINUM,IN,40797101199999999999,visa,40797101100000000000,,R,debit,203,
6912d9f8-212a-41b0-a523-f3f4c3002b27,1009,0,2022-03-04T15:59:44.665322,2022-03-04T15:59:44.665,,VISA PLATINUM,IN,44302513799999999999,visa,44302513700000000000,,R,credit,203,
80b0b8d3-7795-49be-bf50-1f711d729ef1,1004,0,2022-03-04T15:59:40.326053,2022-03-04T15:59:40.326,,VISA REWARDS,IN,40797858399999999999,visa,40797858300000000000,,R,credit,203,
8116687d-d603-416f-b0ac-9983a2bcbfd9,1004,0,2022-03-04T15:59:39.674555,2022-03-04T15:59:39.674,,VISA CLASSIC,IN,40467649999999999999,visa,40467600000000000000,,R,debit,203,
f367d6bb-434d-485d-8a16-4cb392b22091,1008,0,2022-03-04T15:59:44.202506,2022-03-04T15:59:44.202,,VISA BUSINESS,IN,44179203799999999999,visa,44179203500000000000,,R,credit,203,
f9a4f89a-c7a7-45ee-8808-6ba51de6b794,1015,0,2022-03-04T15:59:55.822537,2022-03-04T15:59:55.822,THE FEDERAL BANK LTD,VISA PLATINUM,IN,48476301099999999999,visa,48476301000000000000,,R,debit,203,
fb2e7df4-f025-4943-bead-7f38cf4e0b30,1010,0,2022-03-04T15:59:46.200315,2022-03-04T15:59:46.2,,VISA CLASSIC,IN,44915010699999999999,visa,44915000000000000000,,R,debit,203,
62490957-9901-46af-ab3d-03809eab5888,1857,1,2022-03-04T15:59:39.703333,2022-04-25T07:59:01.772,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483424699999999999,visa,40483400000000000000,,R,debit,203,
c3e2d42f-d95f-402c-9efc-d8a101068635,1891,1,2022-03-04T15:59:51.313137,2022-04-30T20:26:59.43,THE HONGKONG AND SHANGHAI BANK,VISA PLATINUM,IN,46172189999999999999,visa,46172100000000000000,,R,credit,203,461721
3ec1ce54-e4ba-4749-8a75-11376742075c,1005,0,2022-03-04T15:59:40.710418,2022-03-04T15:59:40.71,STANDARD CHARTERED BANK,VISA SIGNATURE,IN,41290545499999999999,visa,41290545300000000000,,R,credit,203,
54c848f3-d621-4c21-9c9b-833796a4e8ca,995,0,2022-03-04T15:59:28.182676,2022-03-04T15:59:28.182,,VISA PLATINUM,IN,45778589999999999999,visa,45778500000000000000,,R,prepaid,203,
7fcafb6d-433b-4b58-b5a3-5a58a516de0f,1016,0,2022-03-04T15:59:56.9551,2022-03-04T15:59:56.955,STATE BANK OF INDIA,CORPORATE T&E,IN,48646173199999999999,visa,48646100000000000000,,C,credit,203,
f17cdb11-18c7-4de8-86d9-3ce189580ce6,1014,0,2022-03-04T15:59:54.297982,2022-03-04T15:59:54.298,,VISA CLASSIC,IN,47250049999999999999,visa,47250000000000000000,,R,debit,203,
06941e09-3440-4aa9-9f3c-30b93849f76c,1004,0,2022-03-04T15:59:39.632534,2022-03-04T15:59:39.632,IndusInd Bank,VISA PLATINUM,IN,40424800099999999999,visa,40424800000000000000,,R,debit,203,
1acd53e2-1c27-408d-b0dd-c3880a424a26,1008,0,2022-03-04T15:59:43.921955,2022-03-04T15:59:43.922,,VISA PLATINUM,IN,44173268999999999999,visa,44173268700000000000,,R,debit,203,
01371201-fe6b-4a4c-8e26-ad80fcc77ddd,1009,0,2022-03-04T15:59:44.571043,2022-03-04T15:59:44.571,,VISA PLATINUM,IN,44276945099999999999,visa,44276941500000000000,,R,credit,203,
4a72ae24-7d91-471b-98a6-d5af5ffd8383,1010,0,2022-03-04T15:59:47.203284,2022-03-04T15:59:47.203,,VISA PLATINUM,IN,45562660099999999999,visa,45562660000000000000,,R,credit,203,
4cfea745-09de-4c78-8e7b-0fd44d411860,1008,0,2022-03-04T15:59:43.604288,2022-03-04T15:59:43.604,STATE BANK OF INDIA,VISA PLATINUM,IN,43774899999999999999,visa,43774866100000000000,,R,credit,203,
fc915485-6b4f-44ee-afce-53b007f0aaa4,1006,0,2022-03-04T15:59:41.483113,2022-03-04T15:59:41.483,ICICI BANK,VISA PURCHASING,IN,42058061999999999999,visa,42058060000000000000,,C,credit,203,
01735682-229c-441c-a157-c8d22e03a95d,1005,0,2022-03-04T15:59:40.703529,2022-03-04T15:59:40.703,STANDARD CHARTERED BANK,VISA PLATINUM,IN,41290545299999999999,visa,41290545100000000000,,R,credit,203,
